-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 09/27/2024 through 10/01/2024 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI
36.75,-95.25,2024,273,19.7,19.47,-999.0
36.75,-94.75,2024,273,19.64,19.28,-999.0
37.25,-101.75,2024,273,20.25,20.06,-999.0
37.25,-101.25,2024,273,20.25,20.06,-999.0
37.25,-100.75,2024,273,19.98,19.75,-999.0
37.25,-100.25,2024,273,19.98,19.75,-999.0
37.25,-99.75,2024,273,19.84,19.64,-999.0
37.25,-99.25,2024,273,19.84,19.64,-999.0
37.25,-98.75,2024,273,19.73,19.52,-999.0
37.25,-98.25,2024,273,19.73,19.52,-999.0
37.25,-97.75,2024,273,19.62,19.47,-999.0
37.25,-97.25,2024,273,19.62,19.47,-999.0
37.25,-96.75,2024,273,19.53,19.42,-999.0
37.25,-96.25,2024,273,19.53,19.42,-999.0
37.25,-95.75,2024,273,19.47,19.3,-999.0
37.25,-95.25,2024,273,19.47,19.3,-999.0
37.25,-94.75,2024,273,19.4,19.17,-999.0
37.75,-101.75,2024,273,20.25,20.06,-999.0
37.75,-101.25,2024,273,20.25,20.06,-999.0
37.75,-100.75,2024,273,19.98,19.75,-999.0
37.75,-100.25,2024,273,19.98,19.75,-999.0
37.75,-99.75,2024,273,19.84,19.64,-999.0
37.75,-99.25,2024,273,19.84,19.64,-999.0
37.75,-98.75,2024,273,19.73,19.52,-999.0
37.75,-98.25,2024,273,19.73,19.52,-999.0
37.75,-97.75,2024,273,19.62,19.47,-999.0
37.75,-97.25,2024,273,19.62,19.47,-999.0
37.75,-96.75,2024,273,19.53,19.42,-999.0
37.75,-96.25,2024,273,19.53,19.42,-999.0
37.75,-95.75,2024,273,19.47,19.3,-999.0
37.75,-95.25,2024,273,19.47,19.3,-999.0
37.75,-94.75,2024,273,19.4,19.17,-999.0
38.25,-101.75,2024,273,19.92,19.67,-999.0
38.25,-101.25,2024,273,19.92,19.67,-999.0
38.25,-100.75,2024,273,19.64,19.38,-999.0
38.25,-100.25,2024,273,19.64,19.38,-999.0
38.25,-99.75,2024,273,19.48,19.22,-999.0
38.25,-99.25,2024,273,19.48,19.22,-999.0
38.25,-98.75,2024,273,19.35,19.18,-999.0
38.25,-98.25,2024,273,19.35,19.18,-999.0
38.25,-97.75,2024,273,19.27,19.27,-999.0
38.25,-97.25,2024,273,19.27,19.27,-999.0
38.25,-96.75,2024,273,19.25,19.25,-999.0
38.25,-96.25,2024,273,19.25,19.25,-999.0
38.25,-95.75,2024,273,19.18,19.11,-999.0
38.25,-95.25,2024,273,19.18,19.11,-999.0
38.25,-94.75,2024,273,19.08,18.94,-999.0
38.75,-101.75,2024,273,19.92,19.67,-999.0
38.75,-101.25,2024,273,19.92,19.67,-999.0
38.75,-100.75,2024,273,19.64,19.38,-999.0
38.75,-100.25,2024,273,19.64,19.38,-999.0
38.75,-99.75,2024,273,19.48,19.22,-999.0
38.75,-99.25,2024,273,19.48,19.22,-999.0
38.75,-98.75,2024,273,19.35,19.18,-999.0
38.75,-98.25,2024,273,19.35,19.18,-999.0
38.75,-97.75,2024,273,19.27,19.27,-999.0
38.75,-97.25,2024,273,19.27,19.27,-999.0
38.75,-96.75,2024,273,19.25,19.25,-999.0
38.75,-96.25,2024,273,19.25,19.25,-999.0
38.75,-95.75,2024,273,19.18,19.11,-999.0
38.75,-95.25,2024,273,19.18,19.11,-999.0
38.75,-94.75,2024,273,19.08,18.94,-999.0
39.25,-101.75,2024,273,19.58,19.27,-999.0
39.25,-101.25,2024,273,19.58,19.27,-999.0
39.25,-100.75,2024,273,19.3,19.04,-999.0
39.25,-100.25,2024,273,19.3,19.04,-999.0
39.25,-99.75,2024,273,19.09,18.99,-999.0
39.25,-99.25,2024,273,19.09,18.99,-999.0
39.25,-98.75,2024,273,18.95,18.86,-999.0
39.25,-98.25,2024,273,18.95,18.86,-999.0
39.25,-97.75,2024,273,18.9,18.82,-999.0
39.25,-97.25,2024,273,18.9,18.82,-999.0
39.25,-96.75,2024,273,18.88,18.84,-999.0
39.25,-96.25,2024,273,18.88,18.84,-999.0
39.25,-95.75,2024,273,18.82,18.76,-999.0
39.25,-95.25,2024,273,18.82,18.76,-999.0
39.25,-94.75,2024,273,18.74,18.67,-999.0
39.75,-101.75,2024,273,19.58,19.27,-999.0
39.75,-101.25,2024,273,19.58,19.27,-999.0
39.75,-100.75,2024,273,19.3,19.04,-999.0
39.75,-100.25,2024,273,19.3,19.04,-999.0
39.75,-99.75,2024,273,19.09,18.99,-999.0
39.75,-99.25,2024,273,19.09,18.99,-999.0
39.75,-98.75,2024,273,18.95,18.86,-999.0
39.75,-98.25,2024,273,18.95,18.86,-999.0
39.75,-97.75,2024,273,18.9,18.82,-999.0
39.75,-97.25,2024,273,18.9,18.82,-999.0
39.75,-96.75,2024,273,18.88,18.84,-999.0
39.75,-96.25,2024,273,18.88,18.84,-999.0
39.75,-95.75,2024,273,18.82,18.76,-999.0
39.75,-95.25,2024,273,18.82,18.76,-999.0
39.75,-94.75,2024,273,18.74,18.67,-999.0
36.75,-101.75,2024,274,20.34,20.25,-999.0
36.75,-101.25,2024,274,20.34,20.25,-999.0
36.75,-100.75,2024,274,20.23,20.12,-999.0
36.75,-100.25,2024,274,20.23,20.12,-999.0
36.75,-99.75,2024,274,20.02,19.9,-999.0
36.75,-99.25,2024,274,20.02,19.9,-999.0
36.75,-98.75,2024,274,19.8,19.66,-999.0
36.75,-98.25,2024,274,19.8,19.66,-999.0
36.75,-97.75,2024,274,19.7,19.62,-999.0
36.75,-97.25,2024,274,19.7,19.62,-999.0
36.75,-96.75,2024,274,19.58,19.29,-999.0
36.75,-96.25,2024,274,19.58,19.29,-999.0
36.75,-95.75,2024,274,19.43,19.18,-999.0
36.75,-95.25,2024,274,19.43,19.18,-999.0
36.75,-94.75,2024,274,-999.0,18.76,-999.0
37.25,-101.75,2024,274,19.92,19.73,-999.0
37.25,-101.25,2024,274,19.92,19.73,-999.0
37.25,-100.75,2024,274,19.89,19.8,-999.0
37.25,-100.25,2024,274,19.89,19.8,-999.0
37.25,-99.75,2024,274,19.71,19.62,-999.0
37.25,-99.25,2024,274,19.71,19.62,-999.0
37.25,-98.75,2024,274,19.52,19.37,-999.0
37.25,-98.25,2024,274,19.52,19.37,-999.0
37.25,-97.75,2024,274,19.42,19.32,-999.0
37.25,-97.25,2024,274,19.42,19.32,-999.0
37.25,-96.75,2024,274,19.3,19.09,-999.0
37.25,-96.25,2024,274,19.3,19.09,-999.0
37.25,-95.75,2024,274,19.12,18.96,-999.0
37.25,-95.25,2024,274,19.12,18.96,-999.0
37.25,-94.75,2024,274,19.04,18.6,-999.0
37.75,-101.75,2024,274,19.92,19.73,-999.0
37.75,-101.25,2024,274,19.92,19.73,-999.0
37.75,-100.75,2024,274,19.89,19.8,-999.0
37.75,-100.25,2024,274,19.89,19.8,-999.0
37.75,-99.75,2024,274,19.71,19.62,-999.0
37.75,-99.25,2024,274,19.71,19.62,-999.0
37.75,-98.75,2024,274,19.52,19.37,-999.0
37.75,-98.25,2024,274,19.52,19.37,-999.0
37.75,-97.75,2024,274,19.42,19.32,-999.0
37.75,-97.25,2024,274,19.42,19.32,-999.0
37.75,-96.75,2024,274,19.3,19.09,-999.0
37.75,-96.25,2024,274,19.3,19.09,-999.0
37.75,-95.75,2024,274,19.12,18.96,-999.0
37.75,-95.25,2024,274,19.12,18.96,-999.0
37.75,-94.75,2024,274,19.04,18.6,-999.0
38.25,-101.75,2024,274,19.36,19.06,-999.0
38.25,-101.25,2024,274,19.36,19.06,-999.0
38.25,-100.75,2024,274,19.38,19.18,-999.0
38.25,-100.25,2024,274,19.38,19.18,-999.0
38.25,-99.75,2024,274,19.32,19.22,-999.0
38.25,-99.25,2024,274,19.32,19.22,-999.0
38.25,-98.75,2024,274,19.19,19.11,-999.0
38.25,-98.25,2024,274,19.19,19.11,-999.0
38.25,-97.75,2024,274,19.09,19.02,-999.0
38.25,-97.25,2024,274,19.09,19.02,-999.0
38.25,-96.75,2024,274,19.0,18.75,-999.0
38.25,-96.25,2024,274,19.0,18.75,-999.0
38.25,-95.75,2024,274,18.8,18.64,-999.0
38.25,-95.25,2024,274,18.8,18.64,-999.0
38.25,-94.75,2024,274,18.69,18.61,-999.0
38.75,-101.75,2024,274,19.36,19.06,-999.0
38.75,-101.25,2024,274,19.36,19.06,-999.0
38.75,-100.75,2024,274,19.38,19.18,-999.0
38.75,-100.25,2024,274,19.38,19.18,-999.0
38.75,-99.75,2024,274,19.32,19.22,-999.0
38.75,-99.25,2024,274,19.32,19.22,-999.0
38.75,-98.75,2024,274,19.19,19.11,-999.0
38.75,-98.25,2024,274,19.19,19.11,-999.0
38.75,-97.75,2024,274,19.09,19.02,-999.0
38.75,-97.25,2024,274,19.09,19.02,-999.0
38.75,-96.75,2024,274,19.0,18.75,-999.0
38.75,-96.25,2024,274,19.0,18.75,-999.0
38.75,-95.75,2024,274,18.8,18.64,-999.0
38.75,-95.25,2024,274,18.8,18.64,-999.0
38.75,-94.75,2024,274,18.69,18.61,-999.0
39.25,-101.75,2024,274,18.96,18.61,-999.0
39.25,-101.25,2024,274,18.96,18.61,-999.0
39.25,-100.75,2024,274,18.86,18.62,-999.0
39.25,-100.25,2024,274,18.86,18.62,-999.0
39.25,-99.75,2024,274,18.79,18.69,-999.0
39.25,-99.25,2024,274,18.79,18.69,-999.0
39.25,-98.75,2024,274,18.73,18.66,-999.0
39.25,-98.25,2024,274,18.73,18.66,-999.0
39.25,-97.75,2024,274,18.7,18.61,-999.0
39.25,-97.25,2024,274,18.7,18.61,-999.0
39.25,-96.75,2024,274,18.63,18.4,-999.0
39.25,-96.25,2024,274,18.63,18.4,-999.0
39.25,-95.75,2024,274,18.47,18.24,-999.0
39.25,-95.25,2024,274,18.47,18.24,-999.0
39.25,-94.75,2024,274,18.38,18.32,-999.0
39.75,-101.75,2024,274,18.96,18.61,-999.0
39.75,-101.25,2024,274,18.96,18.61,-999.0
39.75,-100.75,2024,274,18.86,18.62,-999.0
39.75,-100.25,2024,274,18.86,18.62,-999.0
39.75,-99.75,2024,274,18.79,18.69,-999.0
39.75,-99.25,2024,274,18.79,18.69,-999.0
39.75,-98.75,2024,274,18.73,18.66,-999.0
39.75,-98.25,2024,274,18.73,18.66,-999.0
39.75,-97.75,2024,274,18.7,18.61,-999.0
39.75,-97.25,2024,274,18.7,18.61,-999.0
39.75,-96.75,2024,274,18.63,18.4,-999.0
39.75,-96.25,2024,274,18.63,18.4,-999.0
39.75,-95.75,2024,274,18.47,18.24,-999.0
39.75,-95.25,2024,274,18.47,18.24,-999.0
39.75,-94.75,2024,274,18.38,18.32,-999.0
36.75,-101.75,2024,275,20.04,19.99,-999.0
36.75,-101.25,2024,275,20.04,19.99,-999.0
36.75,-100.75,2024,275,19.86,19.81,-999.0
36.75,-100.25,2024,275,19.86,19.81,-999.0
36.75,-99.75,2024,275,19.72,19.72,-999.0
36.75,-99.25,2024,275,19.72,19.72,-999.0
36.75,-98.75,2024,275,19.57,19.48,-999.0
36.75,-98.25,2024,275,19.57,19.48,-999.0
36.75,-97.75,2024,275,19.47,19.43,-999.0
36.75,-97.25,2024,275,19.47,19.43,-999.0
36.75,-96.75,2024,275,19.38,19.38,-999.0
36.75,-96.25,2024,275,19.38,19.38,-999.0
36.75,-95.75,2024,275,19.35,19.28,-999.0
36.75,-95.25,2024,275,19.35,19.28,-999.0
36.75,-94.75,2024,275,19.39,19.33,-999.0
37.25,-101.75,2024,275,19.75,19.7,-999.0
37.25,-101.25,2024,275,19.75,19.7,-999.0
37.25,-100.75,2024,275,19.6,19.53,-999.0
37.25,-100.25,2024,275,19.6,19.53,-999.0
37.25,-99.75,2024,275,19.46,19.4,-999.0
37.25,-99.25,2024,275,19.46,19.4,-999.0
37.25,-98.75,2024,275,19.35,19.19,-999.0
37.25,-98.25,2024,275,19.35,19.19,-999.0
37.25,-97.75,2024,275,19.27,19.07,-999.0
37.25,-97.25,2024,275,19.27,19.07,-999.0
37.25,-96.75,2024,275,19.24,19.22,-999.0
37.25,-96.25,2024,275,19.24,19.22,-999.0
37.25,-95.75,2024,275,19.28,19.28,-999.0
37.25,-95.25,2024,275,19.28,19.28,-999.0
37.25,-94.75,2024,275,19.35,19.28,-999.0
37.75,-101.75,2024,275,19.75,19.7,-999.0
37.75,-101.25,2024,275,19.75,19.7,-999.0
37.75,-100.75,2024,275,19.6,19.53,-999.0
